"wohflaeche";"grundstuecksflaeche";"badezimmer";"schlafzimmer";"baujahr";"garage";"kamin";"pool";"umbau"
219;928;1;3;1974;"Ja";"Ja";"Nein";"Ja"
344;1491;2;4;1991;"Ja";"Ja";"Nein";"Ja"
114;140;2;1;1971;"Nein";"Nein";"Nein";"Nein"
170;580;1;2;1929;"Ja";"Nein";"Nein";"Ja"
195;836;1;3;1977;"Ja";"Nein";"Nein";"Nein"
205;919;2;3;1977;"Ja";"Ja";"Ja";"Nein"
240;573;2;3;1926;"Ja";"Ja";"Nein";"Ja"
274;1637;3;3;1959;"Ja";"Ja";"Nein";"Nein"
244;1152;1;2;1938;"Ja";"Ja";"Nein";"Ja"
172;1002;2;3;1991;"Ja";"Ja";"Nein";"Ja"
215;213;2;3;1976;"Ja";"Ja";"Nein";"Nein"
237;5257;2;4;1899;"Ja";"Nein";"Nein";"Ja"
281;900;3;3;1965;"Ja";"Nein";"Nein";"Nein"
206;948;1;3;1964;"Ja";"Ja";"Nein";"Nein"
208;1107;2;3;2006;"Ja";"Ja";"Nein";"Nein"
240;703;1;4;1964;"Ja";"Nein";"Nein";"Nein"
270;966;2;2;1976;"Ja";"Ja";"Nein";"Nein"
215;697;1;3;2003;"Nein";"Nein";"Nein";"Nein"
165;1079;1;2;1960;"Ja";"Nein";"Nein";"Nein"
181;803;2;2;1948;"Ja";"Nein";"Nein";"Ja"
279;888;2;2;1995;"Ja";"Ja";"Nein";"Ja"
279;787;2;3;2004;"Ja";"Nein";"Nein";"Nein"
200;797;2;3;1937;"Ja";"Ja";"Nein";"Ja"
236;871;2;3;1971;"Ja";"Ja";"Nein";"Ja"
275;1251;3;4;1990;"Ja";"Ja";"Nein";"Ja"
142;145;2;2;1970;"Ja";"Nein";"Nein";"Nein"
247;892;2;3;1956;"Ja";"Ja";"Nein";"Ja"
236;326;2;2;2004;"Ja";"Nein";"Nein";"Nein"
177;719;2;3;1966;"Ja";"Nein";"Nein";"Nein"
180;767;1;3;1919;"Ja";"Nein";"Nein";"Ja"
219;726;2;3;1994;"Ja";"Ja";"Nein";"Ja"
212;890;2;3;1956;"Ja";"Nein";"Nein";"Nein"
259;907;2;2;1964;"Ja";"Ja";"Nein";"Ja"
187;1044;2;2;1970;"Ja";"Ja";"Nein";"Nein"
343;1092;2;3;1977;"Ja";"Ja";"Nein";"Nein"
199;896;2;3;1976;"Ja";"Ja";"Nein";"Nein"
292;1113;2;3;2005;"Ja";"Ja";"Nein";"Nein"
254;1161;3;4;1942;"Ja";"Nein";"Nein";"Ja"
178;906;1;3;1958;"Ja";"Nein";"Nein";"Nein"
211;182;3;3;1978;"Ja";"Ja";"Nein";"Nein"
242;498;3;1;2005;"Ja";"Ja";"Nein";"Nein"
229;710;2;2;1940;"Ja";"Nein";"Nein";"Ja"
325;1382;3;3;2006;"Ja";"Ja";"Nein";"Ja"
359;1051;3;2;2001;"Ja";"Ja";"Nein";"Nein"
148;1004;2;2;1972;"Ja";"Nein";"Nein";"Ja"
173;828;1;3;1958;"Ja";"Ja";"Nein";"Nein"
342;940;3;4;1993;"Ja";"Ja";"Nein";"Nein"
188;903;1;2;1964;"Ja";"Nein";"Nein";"Nein"
156;412;2;1;2004;"Ja";"Ja";"Nein";"Nein"
301;1218;3;4;1990;"Ja";"Ja";"Nein";"Nein"
237;678;2;3;1925;"Nein";"Nein";"Nein";"Ja"
241;886;3;3;1998;"Ja";"Nein";"Nein";"Nein"
213;701;2;4;1922;"Ja";"Nein";"Nein";"Ja"
174;224;2;2;1973;"Ja";"Ja";"Nein";"Nein"
98;669;1;2;1950;"Ja";"Nein";"Nein";"Nein"
388;1310;3;4;1934;"Ja";"Ja";"Nein";"Ja"
159;412;2;1;2002;"Ja";"Ja";"Nein";"Nein"
206;2355;2;3;1918;"Ja";"Nein";"Nein";"Ja"
288;751;2;2;1947;"Ja";"Nein";"Nein";"Ja"
296;960;2;3;1966;"Ja";"Ja";"Nein";"Ja"
221;892;2;3;1974;"Ja";"Ja";"Nein";"Ja"
201;876;1;2;1930;"Ja";"Nein";"Nein";"Ja"
319;967;2;3;2000;"Ja";"Ja";"Nein";"Nein"
228;844;2;3;2004;"Ja";"Nein";"Nein";"Nein"
205;695;2;4;1973;"Ja";"Nein";"Nein";"Ja"
164;821;2;4;1956;"Ja";"Ja";"Nein";"Ja"
184;722;1;3;1908;"Ja";"Nein";"Nein";"Ja"
170;558;1;2;1948;"Ja";"Nein";"Nein";"Ja"
149;223;2;2;2003;"Ja";"Nein";"Nein";"Nein"
232;744;2;3;2003;"Ja";"Ja";"Nein";"Ja"
164;826;2;2;1983;"Ja";"Nein";"Nein";"Nein"
266;1118;2;4;1975;"Ja";"Ja";"Nein";"Nein"
263;815;2;3;2003;"Ja";"Nein";"Nein";"Nein"
365;1269;3;3;2005;"Ja";"Ja";"Nein";"Nein"
238;1125;1;3;1963;"Ja";"Ja";"Nein";"Nein"
268;365;3;2;2002;"Ja";"Ja";"Nein";"Nein"
139;665;2;2;1984;"Ja";"Nein";"Nein";"Nein"
138;742;1;3;1979;"Ja";"Ja";"Nein";"Nein"
241;1022;2;3;1939;"Ja";"Nein";"Nein";"Ja"
215;803;2;3;2009;"Ja";"Nein";"Nein";"Nein"
212;391;2;3;1975;"Ja";"Ja";"Nein";"Nein"
296;1280;1;4;1977;"Ja";"Ja";"Nein";"Ja"
137;156;1;2;1972;"Ja";"Nein";"Nein";"Ja"
235;295;2;2;2004;"Ja";"Ja";"Nein";"Ja"
272;2223;2;4;1984;"Ja";"Ja";"Ja";"Nein"
168;647;1;2;1926;"Ja";"Nein";"Nein";"Ja"
228;362;2;1;1979;"Ja";"Ja";"Nein";"Nein"
212;964;2;3;1978;"Ja";"Nein";"Nein";"Nein"
160;845;1;3;1941;"Ja";"Nein";"Nein";"Ja"
186;902;2;3;1978;"Ja";"Ja";"Nein";"Nein"
279;1151;3;3;1950;"Ja";"Ja";"Nein";"Ja"
455;1419;4;3;2004;"Ja";"Ja";"Nein";"Nein"
210;861;1;3;1939;"Ja";"Nein";"Nein";"Ja"
218;823;2;3;1957;"Ja";"Ja";"Nein";"Nein"
385;1004;2;4;1974;"Ja";"Ja";"Nein";"Ja"
259;1153;2;4;2005;"Ja";"Ja";"Nein";"Ja"
167;645;2;3;1984;"Ja";"Nein";"Nein";"Ja"
150;557;1;3;1927;"Ja";"Nein";"Nein";"Ja"
179;292;1;2;1919;"Ja";"Ja";"Nein";"Ja"
205;981;1;2;1923;"Ja";"Nein";"Nein";"Ja"
309;1228;3;3;2004;"Ja";"Ja";"Nein";"Nein"
212;834;3;3;2003;"Ja";"Ja";"Nein";"Nein"
189;615;3;3;1926;"Ja";"Nein";"Nein";"Ja"
215;196;2;3;2001;"Ja";"Nein";"Nein";"Nein"
168;296;3;2;2004;"Ja";"Nein";"Nein";"Nein"
248;801;2;4;1967;"Ja";"Nein";"Nein";"Nein"
256;2953;2;3;1960;"Ja";"Ja";"Nein";"Nein"
180;1188;1;2;1952;"Ja";"Nein";"Nein";"Nein"
150;140;1;3;1973;"Ja";"Nein";"Nein";"Nein"
169;647;2;2;1977;"Ja";"Nein";"Nein";"Nein"
180;1446;1;3;1913;"Ja";"Nein";"Nein";"Ja"
99;568;1;1;1936;"Nein";"Ja";"Nein";"Ja"
250;1092;1;2;1956;"Ja";"Ja";"Nein";"Nein"
172;756;2;3;1965;"Ja";"Nein";"Nein";"Ja"
238;846;2;3;1999;"Ja";"Ja";"Nein";"Nein"
175;974;1;3;1991;"Ja";"Nein";"Nein";"Nein"
97;794;2;2;1949;"Ja";"Nein";"Nein";"Ja"
365;1340;3;2;2008;"Ja";"Ja";"Nein";"Nein"
195;1244;2;3;1968;"Ja";"Ja";"Nein";"Nein"
335;890;2;4;2003;"Ja";"Ja";"Nein";"Ja"
212;749;2;3;1957;"Ja";"Nein";"Nein";"Nein"
311;1015;1;3;1925;"Ja";"Ja";"Nein";"Ja"
231;960;2;3;1911;"Ja";"Nein";"Nein";"Ja"
220;815;3;2;2004;"Ja";"Nein";"Nein";"Nein"
156;523;1;2;1924;"Ja";"Nein";"Nein";"Ja"
261;1196;2;1;2002;"Ja";"Ja";"Nein";"Nein"
346;1931;2;3;1967;"Ja";"Ja";"Nein";"Ja"
218;219;2;3;1980;"Ja";"Ja";"Nein";"Nein"
213;1065;3;3;1976;"Ja";"Ja";"Nein";"Nein"
188;495;1;3;1940;"Nein";"Nein";"Nein";"Ja"
228;579;2;4;1929;"Ja";"Ja";"Nein";"Ja"
160;649;1;3;1962;"Ja";"Nein";"Nein";"Nein"
233;1219;1;4;1914;"Ja";"Nein";"Nein";"Ja"
303;1158;3;2;1994;"Ja";"Ja";"Nein";"Ja"
406;1115;3;3;1979;"Ja";"Ja";"Nein";"Nein"
117;176;2;1;1973;"Nein";"Nein";"Nein";"Nein"
221;579;1;3;1930;"Ja";"Ja";"Nein";"Ja"
198;755;2;3;1953;"Ja";"Nein";"Nein";"Nein"
205;557;1;4;1915;"Ja";"Nein";"Nein";"Ja"
296;930;2;4;1976;"Ja";"Ja";"Nein";"Nein"
160;732;2;2;1940;"Ja";"Ja";"Nein";"Ja"
226;418;3;2;1996;"Ja";"Nein";"Nein";"Nein"
207;890;2;5;1980;"Ja";"Nein";"Nein";"Nein"
333;1379;3;2;2007;"Ja";"Ja";"Nein";"Ja"
166;785;1;3;1967;"Ja";"Nein";"Nein";"Nein"
244;865;2;3;2006;"Ja";"Ja";"Nein";"Nein"
193;1012;1;3;1977;"Ja";"Nein";"Nein";"Nein"
208;1052;2;3;1959;"Ja";"Nein";"Nein";"Ja"
230;813;2;3;1998;"Ja";"Nein";"Nein";"Nein"
250;915;3;2;1961;"Ja";"Nein";"Nein";"Ja"
167;660;1;3;1965;"Ja";"Nein";"Nein";"Nein"
290;427;2;2;2006;"Ja";"Ja";"Nein";"Nein"
254;232;2;4;1913;"Ja";"Ja";"Nein";"Ja"
332;968;2;5;1968;"Ja";"Ja";"Nein";"Ja"
263;2024;2;4;1918;"Ja";"Ja";"Nein";"Ja"
199;801;2;2;1926;"Ja";"Nein";"Nein";"Ja"
210;280;3;2;1999;"Ja";"Nein";"Nein";"Nein"
229;778;2;3;1999;"Ja";"Ja";"Nein";"Nein"
238;1309;3;3;1990;"Ja";"Nein";"Nein";"Nein"
192;819;2;3;1970;"Ja";"Nein";"Nein";"Nein"
212;195;2;3;2001;"Ja";"Ja";"Nein";"Nein"
231;828;2;3;2001;"Ja";"Nein";"Nein";"Nein"
199;834;1;3;1919;"Ja";"Nein";"Nein";"Ja"
487;1368;3;4;1995;"Ja";"Ja";"Nein";"Ja"
281;1227;3;5;1964;"Ja";"Ja";"Nein";"Nein"
413;1268;3;3;1973;"Ja";"Ja";"Nein";"Nein"
347;1139;3;4;2003;"Ja";"Ja";"Nein";"Nein"
201;992;2;3;1960;"Ja";"Nein";"Nein";"Ja"
279;582;2;4;1950;"Ja";"Nein";"Nein";"Ja"
198;598;1;2;1953;"Ja";"Nein";"Nein";"Nein"
216;1011;2;3;1950;"Ja";"Nein";"Nein";"Nein"
227;928;2;3;1955;"Ja";"Ja";"Nein";"Nein"
290;1751;3;3;1978;"Ja";"Ja";"Nein";"Nein"
397;1163;2;4;1978;"Ja";"Ja";"Nein";"Nein"
249;581;3;2;2005;"Ja";"Ja";"Nein";"Ja"
376;1147;3;3;2007;"Ja";"Ja";"Nein";"Nein"
171;781;2;3;1955;"Ja";"Ja";"Nein";"Nein"
245;1220;3;3;1998;"Ja";"Nein";"Nein";"Nein"
160;770;1;3;1970;"Ja";"Nein";"Nein";"Nein"
196;1052;1;3;1966;"Ja";"Ja";"Nein";"Nein"
161;812;1;3;1909;"Nein";"Nein";"Nein";"Ja"
191;696;2;3;1958;"Ja";"Nein";"Nein";"Ja"
205;714;2;3;1994;"Ja";"Ja";"Nein";"Ja"
294;745;3;2;1993;"Ja";"Nein";"Nein";"Nein"
190;804;2;3;1976;"Ja";"Ja";"Nein";"Nein"
169;909;2;3;2006;"Ja";"Nein";"Nein";"Ja"
248;668;2;2;1992;"Ja";"Nein";"Nein";"Ja"
212;733;2;3;2002;"Ja";"Ja";"Nein";"Nein"
199;560;1;3;1929;"Ja";"Nein";"Nein";"Ja"
271;983;3;3;1960;"Ja";"Ja";"Nein";"Nein"
267;3016;2;3;1961;"Ja";"Ja";"Nein";"Ja"
147;337;1;2;1923;"Nein";"Nein";"Nein";"Ja"
151;206;1;3;1970;"Ja";"Nein";"Nein";"Nein"
229;614;1;3;1923;"Ja";"Ja";"Nein";"Ja"
298;1545;2;3;1976;"Ja";"Ja";"Nein";"Ja"
231;1024;3;2;1954;"Ja";"Nein";"Nein";"Nein"
108;640;2;2;1955;"Nein";"Nein";"Nein";"Nein"
175;1077;1;2;1921;"Ja";"Ja";"Nein";"Ja"
177;558;1;2;1921;"Ja";"Nein";"Nein";"Ja"
182;906;2;3;1994;"Ja";"Nein";"Nein";"Nein"
157;413;2;1;2005;"Ja";"Nein";"Nein";"Nein"
259;882;2;3;1963;"Ja";"Ja";"Nein";"Nein"
171;963;1;2;1962;"Ja";"Nein";"Nein";"Nein"
210;735;2;3;1975;"Ja";"Ja";"Nein";"Nein"
105;816;2;2;1949;"Ja";"Nein";"Nein";"Ja"
184;465;1;3;1900;"Ja";"Nein";"Nein";"Ja"
184;939;3;4;1940;"Nein";"Nein";"Nein";"Ja"
179;498;2;3;1910;"Ja";"Ja";"Nein";"Ja"
128;1453;1;2;1953;"Ja";"Nein";"Nein";"Nein"
171;719;2;3;1998;"Ja";"Ja";"Nein";"Ja"
217;929;3;3;1973;"Ja";"Nein";"Nein";"Nein"
185;977;2;2;1976;"Ja";"Nein";"Nein";"Nein"
171;909;2;2;1955;"Ja";"Nein";"Nein";"Nein"
213;697;1;3;2005;"Nein";"Nein";"Nein";"Nein"
202;691;2;3;1954;"Ja";"Ja";"Nein";"Nein"
229;691;3;3;2005;"Ja";"Ja";"Nein";"Nein"
357;1034;2;4;1965;"Ja";"Nein";"Nein";"Nein"
235;738;1;3;1960;"Ja";"Ja";"Nein";"Nein"
118;629;2;2;1934;"Nein";"Nein";"Nein";"Ja"
216;217;2;3;1976;"Ja";"Ja";"Nein";"Nein"
233;1240;1;4;1970;"Ja";"Nein";"Nein";"Nein"
185;996;1;3;1967;"Ja";"Ja";"Nein";"Ja"
161;660;1;2;1968;"Ja";"Nein";"Nein";"Nein"
136;156;2;2;1971;"Ja";"Nein";"Nein";"Nein"
259;1053;2;3;1957;"Ja";"Ja";"Nein";"Ja"
260;651;3;3;2004;"Ja";"Ja";"Nein";"Nein"
178;1013;2;3;1965;"Ja";"Nein";"Nein";"Nein"
202;569;2;2;1924;"Ja";"Ja";"Nein";"Ja"
240;717;1;4;1966;"Ja";"Ja";"Nein";"Nein"
285;1056;3;3;2003;"Ja";"Ja";"Nein";"Nein"
197;766;2;3;1964;"Ja";"Nein";"Nein";"Nein"
273;297;2;2;2003;"Ja";"Ja";"Nein";"Ja"
258;848;2;4;1976;"Ja";"Ja";"Nein";"Nein"
311;1631;3;3;1973;"Ja";"Ja";"Nein";"Ja"
397;1406;3;4;1995;"Ja";"Ja";"Nein";"Ja"
165;725;1;3;1966;"Ja";"Nein";"Nein";"Ja"
151;1003;2;4;1927;"Ja";"Nein";"Nein";"Ja"
254;597;2;2;2007;"Ja";"Ja";"Nein";"Nein"
199;510;3;2;2004;"Ja";"Nein";"Nein";"Nein"
198;201;1;3;1974;"Ja";"Ja";"Nein";"Nein"
305;1004;1;3;1888;"Ja";"Nein";"Nein";"Ja"
169;797;1;3;1955;"Ja";"Nein";"Nein";"Nein"
191;966;2;3;1978;"Ja";"Ja";"Nein";"Nein"
225;1215;3;3;1976;"Ja";"Ja";"Nein";"Nein"
249;234;2;3;2004;"Ja";"Nein";"Nein";"Nein"
180;962;1;3;1975;"Ja";"Nein";"Nein";"Nein"
369;1172;3;2;2007;"Ja";"Ja";"Nein";"Nein"
227;640;2;4;1916;"Ja";"Nein";"Nein";"Ja"
220;1116;1;3;1933;"Ja";"Ja";"Nein";"Ja"
159;844;1;2;1959;"Ja";"Nein";"Nein";"Nein"
166;700;2;2;1978;"Ja";"Ja";"Nein";"Nein"
278;986;2;3;2005;"Ja";"Ja";"Nein";"Nein"
193;1066;2;3;1966;"Ja";"Ja";"Nein";"Nein"
152;1077;2;2;1983;"Ja";"Nein";"Nein";"Nein"
242;1038;2;3;1978;"Ja";"Ja";"Nein";"Nein"
235;296;2;2;2007;"Ja";"Ja";"Nein";"Nein"
311;1558;3;4;1922;"Ja";"Ja";"Nein";"Ja"
143;758;1;2;1955;"Ja";"Ja";"Nein";"Nein"
232;996;1;3;1960;"Ja";"Nein";"Nein";"Nein"
220;1003;3;4;1915;"Ja";"Nein";"Nein";"Ja"
360;2206;4;3;1995;"Ja";"Nein";"Nein";"Ja"
233;3865;2;3;1970;"Ja";"Nein";"Nein";"Ja"
195;668;1;3;1948;"Ja";"Ja";"Nein";"Nein"
172;1242;2;2;1922;"Ja";"Nein";"Nein";"Ja"
194;1080;2;3;1965;"Ja";"Nein";"Nein";"Nein"
196;2347;2;3;1961;"Ja";"Nein";"Nein";"Nein"
97;793;2;2;1950;"Ja";"Nein";"Nein";"Nein"
397;890;2;4;1992;"Ja";"Ja";"Nein";"Nein"
254;545;3;2;2000;"Ja";"Ja";"Nein";"Nein"
152;176;1;3;1977;"Ja";"Nein";"Nein";"Nein"
181;336;2;3;1994;"Ja";"Nein";"Nein";"Ja"
256;1154;2;3;2001;"Ja";"Ja";"Nein";"Nein"
214;813;2;3;1957;"Ja";"Nein";"Nein";"Nein"
237;978;3;3;1974;"Ja";"Ja";"Nein";"Ja"
219;766;1;2;1960;"Ja";"Nein";"Nein";"Nein"
224;450;2;2;1925;"Ja";"Ja";"Nein";"Ja"
287;2900;1;3;1952;"Ja";"Ja";"Nein";"Nein"
315;1660;2;3;1967;"Ja";"Ja";"Nein";"Ja"
264;849;2;3;2009;"Ja";"Ja";"Nein";"Nein"
253;909;2;3;1967;"Ja";"Ja";"Nein";"Nein"
222;939;3;2;2004;"Ja";"Nein";"Nein";"Nein"
195;942;2;3;1957;"Ja";"Nein";"Nein";"Nein"
220;743;3;3;1990;"Ja";"Nein";"Nein";"Ja"
409;857;3;4;2001;"Ja";"Ja";"Nein";"Nein"
298;907;3;3;1997;"Ja";"Ja";"Nein";"Nein"
170;719;3;3;2003;"Ja";"Ja";"Nein";"Nein"
218;709;1;3;1960;"Ja";"Nein";"Nein";"Nein"
202;1157;2;3;2002;"Ja";"Nein";"Nein";"Ja"
373;1255;3;3;2008;"Ja";"Ja";"Nein";"Nein"
219;680;1;3;1959;"Ja";"Ja";"Nein";"Nein"
266;1854;2;4;1958;"Ja";"Ja";"Nein";"Ja"
331;1301;3;3;1996;"Ja";"Nein";"Nein";"Ja"
301;1277;2;4;1935;"Ja";"Ja";"Nein";"Ja"
250;968;2;3;1987;"Ja";"Ja";"Nein";"Nein"
283;987;3;3;2004;"Ja";"Ja";"Nein";"Ja"
272;908;1;4;1950;"Ja";"Ja";"Nein";"Ja"
204;753;2;3;1993;"Ja";"Ja";"Nein";"Ja"
184;646;1;2;1940;"Ja";"Ja";"Nein";"Ja"
242;541;1;3;1952;"Ja";"Nein";"Nein";"Ja"
343;1891;2;2;1966;"Ja";"Ja";"Nein";"Nein"
189;738;2;3;1968;"Ja";"Nein";"Nein";"Ja"
208;212;3;3;2000;"Ja";"Ja";"Nein";"Nein"
274;367;3;2;2004;"Ja";"Ja";"Nein";"Nein"
88;1069;1;3;1959;"Ja";"Nein";"Nein";"Ja"
268;1088;2;4;1938;"Ja";"Ja";"Nein";"Ja"
294;881;3;3;2003;"Ja";"Ja";"Nein";"Nein"
146;164;1;2;1980;"Ja";"Ja";"Nein";"Nein"
278;907;2;1;1999;"Ja";"Ja";"Nein";"Nein"
254;3633;2;2;1954;"Ja";"Ja";"Nein";"Ja"
169;908;1;2;1921;"Ja";"Nein";"Nein";"Ja"
294;723;1;3;1924;"Ja";"Ja";"Nein";"Ja"
193;201;3;3;2000;"Ja";"Nein";"Nein";"Ja"
201;901;2;2;1950;"Ja";"Nein";"Nein";"Ja"
193;714;1;3;1921;"Ja";"Ja";"Nein";"Ja"
261;303;3;2;2000;"Ja";"Ja";"Nein";"Nein"
259;762;2;4;2003;"Ja";"Ja";"Nein";"Ja"
207;928;1;3;1961;"Ja";"Nein";"Nein";"Nein"
328;4935;3;3;1991;"Ja";"Ja";"Nein";"Nein"
369;1023;3;4;1998;"Ja";"Ja";"Nein";"Ja"
185;1196;2;3;1963;"Ja";"Ja";"Nein";"Ja"
353;900;2;6;1969;"Ja";"Nein";"Nein";"Nein"
243;1001;2;3;2006;"Ja";"Nein";"Nein";"Nein"
212;717;1;3;2006;"Nein";"Nein";"Nein";"Nein"
249;688;2;3;1977;"Ja";"Ja";"Nein";"Nein"
91;751;1;1;1923;"Ja";"Nein";"Nein";"Ja"
359;832;3;4;1974;"Ja";"Ja";"Nein";"Ja"
213;846;3;3;1993;"Ja";"Nein";"Nein";"Nein"
284;1883;3;3;1979;"Ja";"Ja";"Nein";"Nein"
166;823;1;2;1995;"Ja";"Nein";"Nein";"Nein"
158;965;2;2;1959;"Ja";"Nein";"Nein";"Nein"
147;715;1;2;1974;"Ja";"Nein";"Nein";"Nein"
262;2782;2;3;1995;"Ja";"Ja";"Nein";"Nein"
292;893;1;3;1967;"Ja";"Nein";"Nein";"Nein"
393;1247;3;3;2006;"Ja";"Ja";"Nein";"Nein"
413;1309;2;1;2006;"Ja";"Ja";"Nein";"Nein"
199;881;2;3;1941;"Ja";"Ja";"Nein";"Ja"
237;769;2;3;2005;"Ja";"Ja";"Nein";"Nein"
142;559;1;3;1940;"Ja";"Nein";"Nein";"Ja"
144;647;1;3;1948;"Ja";"Nein";"Nein";"Ja"
228;892;2;3;1966;"Ja";"Nein";"Nein";"Nein"
239;1032;2;4;1951;"Ja";"Ja";"Nein";"Ja"
300;745;3;2;2005;"Ja";"Ja";"Nein";"Nein"
239;472;2;2;1991;"Ja";"Nein";"Nein";"Nein"
301;355;3;2;2004;"Ja";"Ja";"Nein";"Ja"
200;821;1;3;1921;"Ja";"Nein";"Nein";"Ja"
231;795;2;2;2006;"Ja";"Nein";"Nein";"Nein"
273;1203;3;3;1995;"Ja";"Ja";"Nein";"Ja"
229;892;1;3;1957;"Ja";"Ja";"Nein";"Nein"
258;819;3;3;2004;"Ja";"Nein";"Nein";"Nein"
262;779;2;4;2004;"Ja";"Ja";"Nein";"Nein"
170;665;1;3;1918;"Ja";"Ja";"Nein";"Ja"
161;848;1;2;1920;"Ja";"Nein";"Nein";"Ja"
252;1248;3;3;2000;"Ja";"Ja";"Nein";"Ja"
241;919;2;3;1915;"Nein";"Nein";"Nein";"Ja"
295;1191;3;2;1990;"Ja";"Ja";"Nein";"Nein"
214;1188;3;4;1996;"Ja";"Nein";"Nein";"Nein"
195;983;1;3;1925;"Ja";"Ja";"Nein";"Ja"
143;162;1;2;1981;"Ja";"Ja";"Nein";"Nein"
192;498;1;3;1920;"Ja";"Nein";"Nein";"Ja"
260;1152;3;3;2001;"Ja";"Nein";"Nein";"Nein"
224;1063;2;3;1911;"Nein";"Nein";"Nein";"Ja"
223;895;2;3;1992;"Ja";"Ja";"Nein";"Ja"
208;818;2;3;1965;"Ja";"Nein";"Nein";"Nein"
186;1314;2;3;1963;"Ja";"Ja";"Nein";"Ja"
223;404;1;3;1912;"Ja";"Nein";"Nein";"Ja"
270;1865;2;1;1978;"Ja";"Ja";"Nein";"Ja"
195;958;2;3;1914;"Ja";"Nein";"Nein";"Ja"
69;780;1;1;1918;"Ja";"Nein";"Nein";"Ja"
205;802;3;3;2007;"Ja";"Nein";"Nein";"Nein"
259;787;2;3;2005;"Ja";"Ja";"Nein";"Nein"
139;975;1;3;1971;"Ja";"Nein";"Nein";"Ja"
234;861;1;3;1977;"Ja";"Nein";"Nein";"Ja"
228;1015;2;3;1944;"Ja";"Ja";"Nein";"Ja"
98;668;1;3;1951;"Ja";"Nein";"Nein";"Nein"
317;1065;3;3;2007;"Ja";"Ja";"Nein";"Ja"
151;257;1;3;1974;"Ja";"Nein";"Nein";"Nein"
217;1198;1;3;1912;"Nein";"Nein";"Nein";"Ja"
254;655;3;2;2006;"Ja";"Ja";"Nein";"Nein"
324;1476;3;4;1998;"Ja";"Ja";"Nein";"Nein"
292;1069;2;3;1923;"Ja";"Ja";"Nein";"Ja"
152;138;1;3;1972;"Ja";"Nein";"Nein";"Nein"
190;744;1;3;1963;"Ja";"Nein";"Nein";"Nein"
438;2133;2;4;1893;"Ja";"Ja";"Nein";"Ja"
190;442;1;2;1918;"Nein";"Nein";"Nein";"Ja"
293;1109;2;3;1994;"Ja";"Ja";"Nein";"Ja"
300;1334;3;3;1987;"Ja";"Ja";"Nein";"Ja"
105;774;1;3;1953;"Nein";"Ja";"Nein";"Nein"
232;962;2;3;1964;"Ja";"Ja";"Nein";"Nein"
247;909;2;3;1965;"Ja";"Ja";"Nein";"Nein"
220;882;1;3;1944;"Ja";"Ja";"Nein";"Ja"
217;196;2;3;2000;"Ja";"Nein";"Nein";"Nein"
240;922;2;3;2000;"Ja";"Nein";"Nein";"Nein"
180;930;3;3;1994;"Ja";"Nein";"Nein";"Ja"
133;306;1;2;1911;"Nein";"Ja";"Nein";"Ja"
176;538;1;3;1916;"Ja";"Nein";"Nein";"Ja"
151;774;1;2;1983;"Ja";"Nein";"Nein";"Nein"
171;1000;1;3;1979;"Ja";"Ja";"Nein";"Nein"
182;505;2;3;1922;"Ja";"Nein";"Nein";"Ja"
166;812;1;3;1968;"Ja";"Ja";"Nein";"Nein"
241;625;2;2;2001;"Ja";"Nein";"Nein";"Nein"
